,0
0,-2.1158216
1,-1.9572935
2,-1.6335925
3,-1.558085
4,-1.6596917
5,-1.721965
6,-1.8690791
7,-1.6867079
8,-1.7766807
9,-2.102104
10,-1.3684669
11,-2.0668223
12,-1.7211097
13,-2.1494112
14,-2.3592722
15,-1.6222206
16,-1.5566618
17,-1.296678
18,-1.7950493
19,-1.5162504
20,-1.407919
21,-1.898358
22,-1.7353325
23,-1.9316083
24,-1.7671671
25,-1.8769655
26,-1.8950905
27,-1.3129976
28,-1.4242557
29,-1.8259013
30,-1.7397228
31,-1.5006908
32,-1.5267338
33,-1.6839756
34,-1.9694387
35,-1.3929214
36,-1.5653002
37,-1.9541838
38,-2.0640683
39,-1.6637499
40,-1.5083287
41,-1.9046177
42,-1.1069341
43,-1.7886919
44,-1.3098191
45,-1.3154396
46,-1.1777892
47,-1.8815231
48,-1.5970777
49,-1.7310948
50,-1.5370178
51,-1.759234
52,-1.2612758
53,-1.8498269
54,-1.7856653
55,-1.3259401
56,-1.3539852
57,-1.5128555
58,-1.3489662
59,-1.8519008
60,-2.3729537
61,-2.4677093
62,-1.59915
63,-1.4243677
64,-1.3822219
65,-2.3149014
66,-1.8968544
67,-1.3752649
68,-1.7764966
69,-1.4751164
70,-1.2888999
71,-1.916653
72,-1.2960927
73,-1.8839295
74,-1.4593034
75,-2.1286745
76,-1.3385828
77,-2.011076
78,-1.5874406
79,-1.3554384
80,-1.3905727
81,-2.1690466
82,-1.4458808
83,-2.1942313
84,-1.235031
85,-1.5309525
86,-1.6589845
87,-1.7328236
88,-1.5538224
89,-1.8883822
90,-1.4391245
91,-2.1780791
92,-1.2394702
93,-1.7476649
94,-1.685876
95,-2.3671885
96,-1.7348517
97,-1.6976054
98,-1.3138485
99,-1.5478462
100,-1.9848402
101,-1.3539579
102,-1.4719883
103,-1.5189676
104,-1.5616536
105,-1.5832782
106,-1.3979719
107,-1.7065036
108,-1.7163762
109,-1.5031207
110,-1.5551418
111,-1.4329802
112,-1.483855
113,-1.2173306
114,-1.975065
115,-1.6946337
116,-1.8043711
117,-1.6705685
118,-1.3428952
119,-1.3511037
120,-1.5468284
121,-1.4572338
122,-1.3920233
123,-1.4836365
124,-1.3122926
125,-1.7095191
126,-1.8088168
127,-1.7260481
128,-1.3844177
129,-1.4407804
130,-2.0079947
131,-1.4038508
132,-1.9039159
133,-1.5248907
134,-1.5817151
135,-1.423347
136,-1.5735766
137,-1.35546
138,-2.1682987
139,-1.4287376
140,-1.4883294
141,-1.5260991
142,-2.5946658
143,-1.9017912
144,-1.7496405
145,-1.4243573
146,-2.0137553
147,-1.3445718
148,-1.7023139
149,-2.0619981
150,-1.5539554
151,-1.8922341
152,-2.0358973
153,-1.6509143
154,-1.4662541
155,-1.5340674
156,-1.5761757
157,-1.2058285
158,-1.4895645
159,-1.7342829
160,-1.7159631
161,-1.3244874
162,-1.3845845
163,-1.7621276
164,-1.7274121
165,-2.2723439
166,-2.2508159
167,-1.7477698
168,-1.7727268
169,-1.6469193
170,-1.7315125
171,-1.34818
172,-1.9790423
173,-1.6063293
174,-1.8519526
175,-1.344376
176,-2.0134277
177,-1.3356044
178,-1.9927636
179,-1.5647378
180,-1.8812568
181,-1.2987206
182,-1.6141753
183,-1.5992807
184,-1.6188154
185,-1.6805875
186,-2.2277186
187,-1.8991218
188,-1.8603878
189,-1.4001082
190,-1.6780145
191,-1.5278388
192,-1.5494804
193,-2.1189473
194,-1.4310884
195,-1.7613679
196,-1.2998301
197,-1.5577406
198,-1.313859
199,-1.92958
200,-1.704709
201,-1.7354492
202,-1.6780407
203,-1.6735017
204,-1.7981364
205,-2.0630755
206,-1.4553484
207,-2.0521855
208,-1.7976836
209,-1.8279071
210,-1.4753999
211,-1.7055749
212,-2.087299
213,-1.5356246
214,-1.4095027
215,-1.4569602
216,-1.7185934
217,-1.2912779
218,-1.5721251
219,-1.4834716
220,-1.4676179
221,-1.4376454
222,-1.6803527
223,-2.1430168
224,-1.5552386
225,-1.3588175
226,-1.1931281
227,-1.3024075
228,-1.8588275
229,-1.7113503
230,-1.62742
231,-1.846692
232,-1.3072941
233,-1.721745
234,-1.3042213
235,-2.4133015
236,-2.0491085
237,-1.6516558
238,-1.8282899
239,-1.4026582
240,-2.3187113
241,-1.4305705
242,-1.8722668
243,-1.2985379
244,-1.6103569
245,-1.310487
246,-1.4197425
247,-1.5308915
248,-1.4104854
249,-1.3823044
250,-2.062691
251,-1.7711059
252,-1.5974417
253,-1.6187104
254,-1.9420217
255,-1.3645759
256,-1.9935218
257,-1.7614737
258,-1.4471647
259,-1.4223795
260,-1.41059
261,-1.5351006
262,-1.4977733
263,-1.8517047
264,-2.1587257
265,-1.5752935
266,-1.5361185
267,-2.090829
268,-2.2163138
269,-2.000246
270,-1.5859284
271,-1.4381948
272,-1.6577104
273,-1.4329923
274,-1.8042616
275,-1.8254051
276,-1.9582199
277,-1.4345602
278,-1.3166323
279,-1.3492043
280,-1.4949756
281,-1.4635499
282,-1.9814136
283,-1.3360363
284,-1.4534566
285,-1.5541214
286,-1.5800731
287,-1.4904686
288,-1.5615613
289,-2.1243143
290,-1.8712169
291,-1.9179895
292,-1.7336713
293,-1.9402827
294,-1.5095133
295,-1.3647542
296,-1.3076566
297,-1.4333581
298,-1.5406339
299,-2.115477
300,-1.6286722
301,-1.5887061
302,-1.7957531
303,-1.4608376
304,-1.158633
305,-1.6974316
306,-2.038883
307,-1.7041032
308,-1.2928698
309,-1.3957646
310,-1.6987073
311,-1.8578734
312,-2.0618908
313,-2.0208237
314,-1.4476851
315,-1.3665603
316,-1.440063
317,-1.9414444
318,-1.804077
319,-1.9554847
320,-1.5176651
321,-1.6195666
322,-1.486055
323,-2.1639073
324,-1.5121423
325,-1.8950598
326,-1.1640304
327,-1.6905046
328,-1.6300222
329,-1.8181181
330,-0.9507478
331,-1.5266429
332,-1.8028407
333,-2.0538437
334,-1.5957513
335,-1.4042124
336,-1.7710493
337,-2.28231
338,-1.5012157
339,-2.006011
340,-1.4477319
341,-1.4299742
342,-1.7292436
343,-2.0423834
344,-1.0645459
345,-1.5838555
346,-1.3010726
347,-1.5797026
348,-1.7559998
349,-1.91789
350,-1.2694706
351,-1.860438
352,-1.435593
353,-1.6454173
354,-1.321948
355,-1.3677483
356,-1.6422968
357,-2.0512903
358,-1.4681274
359,-1.897979
360,-1.472699
361,-2.173932
362,-1.7586365
363,-1.9183782
364,-2.0055008
365,-1.7495055
366,-1.4936934
367,-1.6947439
368,-1.9756696
369,-1.5088625
370,-1.3835988
371,-1.7232636
372,-1.7557155
373,-1.6783502
374,-1.2801231
375,-1.3575805
376,-1.6886351
377,-1.3824863
378,-1.574059
379,-2.063592
380,-1.9804876
381,-1.7378733
382,-1.8353765
383,-1.588938
384,-1.17682
385,-1.3482428
386,0.07011733
387,-0.12374671
388,-0.18824533
389,-0.5994036
390,-0.13272093
391,-0.56640536
392,-2.1628804
393,-1.4985211
394,-1.397719
395,-1.1282805
396,-1.363234
397,-1.433807
398,-1.1883327
399,-1.7706604
400,-0.8592921
401,0.012042323
402,-1.3727611
403,-0.36570212
404,-0.9740811
405,-1.0885587
406,-0.9137098
407,-0.8616652
408,-1.7896631
409,-2.0238202
410,-2.079699
411,-1.84984
412,-2.4046679
413,-1.8858916
414,-1.7912177
415,-2.07936
416,-0.7434634
417,-0.1254561
418,-0.39563498
419,0.058778208
420,0.081725255
421,-0.47792986
422,-0.57637155
423,-0.02082675
424,-0.27352458
425,-0.09676604
426,-0.3248379
427,-0.3655978
428,-0.7403265
429,-0.3686503
430,-0.51802593
431,-0.83514386
432,-2.5066957
433,-2.9109888
434,-1.6330141
435,-1.7790363
436,-1.9367663
437,-2.2137654
438,-2.7506654
439,-1.8179262
440,-0.122328565
441,-0.26745886
442,-0.08366405
443,-0.40380892
444,-0.19725697
445,-1.5088168
446,-0.51302636
447,-0.045118432
448,-0.19368169
449,-0.10392277
450,-0.77664685
451,-0.50929505
452,-0.06059732
453,-1.6576794
454,-1.1859682
455,-0.14065155
456,0.35281238
457,-0.5345606
458,-0.603746
459,-0.27504158
460,-0.4250816
461,0.20882976
462,-0.3645042
463,0.06451759
464,-1.3535184
465,-2.3937993
466,-2.3983119
467,-2.058683
468,-1.7844592
469,-1.7893764
470,-1.8118454
471,-1.9855024
472,-1.4840187
473,-1.7015787
474,-1.2204927
475,-1.4775699
476,-1.6648531
477,-1.5126158
478,-1.7838197
479,-1.5329317
480,-0.90282905
481,-0.12359441
482,-0.94111806
483,0.07467263
484,-0.46503434
485,-0.21814463
486,-1.6137689
487,-0.56663823
488,-1.250879
489,-1.182684
490,-1.5945153
491,-1.1793896
492,-1.1279695
493,-1.3036801
494,-1.1731719
495,-1.250016
496,-0.5916194
497,-0.30611908
498,-0.3272379
499,-0.77698696
500,-1.2382103
501,-1.0881984
502,-0.87570596
503,0.10266151
504,-1.6785868
505,-1.94409
506,-1.293787
507,-1.3362031
508,-1.6305052
509,-1.9489673
510,-1.1254997
511,-1.345068
512,-0.74725205
513,-0.11374411
514,-1.0105183
515,-2.0938122
516,0.06868633
517,-1.1944941
518,0.010070458
519,0.03751323
520,-0.19381052
521,-0.03390889
522,-0.06863238
523,-0.40610904
524,-0.087505266
525,-0.54227805
526,-1.0055027
527,0.15176293
528,-0.0513541
529,0.18096454
530,-0.49021888
531,-0.97156703
532,-1.3543098
533,-0.25904775
534,-0.04160795
535,-0.2833026
536,-1.1605906
537,-1.3895973
538,-1.3197753
539,-1.1804509
540,-1.1085957
541,-1.3601701
542,-1.5223305
543,-1.2829272
544,-1.7663474
545,-1.7966588
546,-2.2387238
547,-1.5306597
548,-2.0562463
549,-1.5623839
550,-1.7313159
551,-1.5704947
552,-1.4094895
553,-0.51136845
554,-0.245317
555,-0.3752731
556,-0.70572805
557,-0.63074064
558,-1.2822572
559,-0.3856114
560,-1.3432833
561,-1.8495259
562,-1.6568278
563,-0.71551543
564,-1.2624619
565,-2.0297904
566,-2.385976
567,-0.6270995
568,-0.17755277
569,-0.22161937
570,-0.23295246
571,-0.11190343
572,-0.06518302
573,-1.2065284
574,-0.8910893
575,-0.45568514
576,0.08334703
577,-1.3700774
578,-0.19887722
579,-0.12827733
580,-0.7914604
581,0.09728344
582,-0.414932
583,-0.24483505
584,-0.12866247
585,-0.27535406
586,-0.81319267
587,-1.4131655
588,-0.07107094
589,-1.4126242
590,-0.8119854
591,-0.91296715
592,0.3636726
593,-1.5202525
594,-1.2763894
595,-0.37896997
596,-0.32284933
597,-0.44526947
598,-0.6560596
599,0.16309687
600,-0.77027893
601,0.051943317
602,-0.27468517
603,-0.26157612
604,-0.42911643
605,-0.4250178
606,-0.54356796
607,-0.8754709
608,-1.9315295
609,-1.9076211
610,-1.8466753
611,-1.751834
612,-2.1182241
613,-1.3575261
